[ 2020-11-02 11:08:46,770 ] Disconnected from gameserver
[ 2020-11-02 11:08:46,806 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:37:07,284 ] Asset loading complete
[ 2020-11-02 11:37:09,795 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:12,259 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik" )
[ 2020-11-02 11:37:12,263 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:12,279 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:13,329 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:19,111 ] Asset loading complete
[ 2020-11-02 11:37:28,980 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:30,244 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik On" )
[ 2020-11-02 11:37:30,247 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:30,258 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:31,314 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:45,365 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:45,515 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:37:45,579 ] Disconnected from gameserver
[ 2020-11-02 11:37:45,688 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik" )
[ 2020-11-02 11:37:45,690 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:45,701 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:46,682 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:37:48,032 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:37:48,132 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:37:48,200 ] Disconnected from gameserver
[ 2020-11-02 11:37:48,298 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik On" )
[ 2020-11-02 11:37:48,301 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:48,315 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:37:49,282 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:38:23,134 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:38:23,202 ] Disconnected from gameserver
[ 2020-11-02 11:38:23,239 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:38:23,914 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik On" )
[ 2020-11-02 11:38:23,915 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:38:23,926 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:38:24,902 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:39:50,076 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:39:50,179 ] Disconnected from gameserver
[ 2020-11-02 11:39:50,215 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:39:51,282 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik On Dexin" )
[ 2020-11-02 11:39:51,284 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:39:51,294 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:39:52,259 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:41:59,318 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:41:59,385 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:41:59,386 ] Disconnected from gameserver
[ 2020-11-02 11:41:59,421 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:41:59,455 ] Disconnected from gameserver
[ 2020-11-02 11:41:59,491 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2020-11-02 11:42:19,222 ] Asset loading complete
[ 2020-11-02 11:42:25,519 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:42:26,484 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik" )
[ 2020-11-02 11:42:26,488 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:42:26,502 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:42:27,569 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:42:57,538 ] Connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2020-11-02 11:42:57,605 ] Disconnected from gameserver
[ 2020-11-02 11:42:57,739 ] News query failed: "Unrecognized event news."
[ 2020-11-02 11:42:58,261 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Krecik On" )
[ 2020-11-02 11:42:58,263 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
[ 2020-11-02 11:42:58,274 ] Connected to gameserver  "tcp://127.0.0.1:7172" "OTServBR-Global"
